repo_name,language,description
AppliedRoboticsResearchLibrary,,"From the Microsoft Applied Robotics Research team, this library is a collection of GitHub repositories containing software applications, data sets, and hardware reference designs to support research and education in the fields of service-robotics. Our team invites you to join us in research and engineering efforts that advance how robots can assist and augment the capabilities of human beings."
AppModelSamples,,Sample code for AppModel features
apps-agents-workshop,,Public repository for the Power Platform Apps and Agents Workshop materials
Appsample-Photosharing,C#,Sample code for a UWP photo sharing app.
AppSource,,"Build a Test Drive solution to allow customers to try before they buy your product. This repository contains a development helper tool to help build, test, and debug your test drive."
APRON,C,Authenticated and Progressive System Image Renovation
APSI,C++,APSI is a C++ library for Asymmetric (unlabeled or labeled) Private Set Intersection.
APSINet,C#,.Net wrappers for APSI
APS_Query_Toolbox,,Collection of helpful queries for the Microsoft Analytics Platform System appliance to manage appliance and workload health and optimize performance.
aqa-tests,HTML,A fork of adoptium/aqa-tests with Msft specific changes
aqafer,,A repo to make it easy to run AQAvit verification against different OpenJDK binaries (validation for Eclipse-Adoptium Marketplace for the OpenJDK).
AR2,Python,
aragog,C++,Scalable runtime verification of distributed middleboxes with Aaragog (OSDI 2020)
arc-sql-mi-db-operator,Go,Control Arc SQL MI databases using kubectl
arc-switch,Go,ARC enabled switches
arcade-background-scroll,TypeScript,A MakeCode Arcade extension for scrolling and looping background images. Adds the Scroller category
arcade-block-objects,TypeScript,An extension for MakeCode Arcade that adds JavaScript like objects
arcade-carnival,JavaScript,"This extensions adds blocks to help you create your own carnival games in MakeCode Arcade using throwable balls, extra timer functions, and extra game-over options."
arcade-chaos-maze,TypeScript,A Chaos Maze for students to explore in MakeCode Arcade
arcade-character-animations,TypeScript,A MakeCode Arcade package for animating sprites using rules
arcade-dom,TypeScript,DOM layout for MakeCode Arcade - beta
arcade-forest-fire,TypeScript,An extension for MakeCode Arcade that simulates the spread of forest fires
arcade-grid,TypeScript,
arcade-machine,TypeScript,":video_game: Input abstraction layer for gamepads, keyboards, and UWP apps in Angular. For React, check out https://github.com/mixer/arcade-machine-react"
arcade-machine-react,TypeScript,":video_game: Input abstraction layer for gamepads, keyboards, and UWP apps in React."
arcade-minimap,TypeScript,
arcade-platformer,TypeScript,An extension for making platformer games in Microsoft MakeCode Arcade
arcade-sprite-data,TypeScript,Blocks attach data to MakeCode Arcade sprites
arcade-storytelling,TypeScript,A storytelling extension for MakeCode Arcade
arcade-swarm-animation,TypeScript,Swarm animation for MakeCode Arcade
arcade-text,TypeScript,
arcade-tile-util,TypeScript,A MakeCode Arcade extension with useful blocks for working with tilemaps
arcade-timers,TypeScript,
arcade-tutorial-extensions,JavaScript,A collection of extensions used in MakeCode Arcade tutorials and skillmaps
arcana.cpp,C++,"Arcana.cpp is a collection of helpers and utility code for low overhead, cross platform C++ implementation of task-based asynchrony."
archai,Python,"Accelerate your Neural Architecture Search (NAS) through fast, reproducible and modular research."
archived-confidential-sidecar-containers,Go,This is a collection of sidecar containers that can be incorporated within confidential container groups on Azure Container Instances.
ArchProbe,C++,A profiler to disclose and quantify hardware features on GPUs.
ArchScale,Python,Simple & Scalable Pretraining for Neural Architecture Research
arcticseals,Jupyter Notebook,A deep learning project in cooperation with the NOAA Marine Mammal Lab to detect & classify arctic seals in aerial imagery to understand how they’re adapting to a changing world.
ardiffact,TypeScript,
ArduinoHidForWindows,C++,A public Arduino library with implementations for various Windows-compatible Human-Interface-Devices
argos,Python,An agentic system for autonomously generating explainable and reproducible time-series anomaly detection rules using LLMs.
ARGUS,Python,
ARI,PowerShell,Azure Resource Inventory - It's a Powerful tool to create EXCEL inventory from Azure Resources with low effort
ark,C++,A GPU-driven system framework for scalable AI applications
arm-debug-deployment-cleanup,PowerShell,Script to clean up ARM deployment logs
Armada,C#,"Armada is a tool for writing, and proving correct, high-performance concurrent programs."
aro-migration-hackathon,Shell,Hackathon content prepared for a joint Red Hat and GitHub + Azure Hackathon. 
aroundtheclock,,"Join us for a 24-hour, engineering event focused on Azure SQL and Azure Data Factory - with the idea that Azure Data Factory can do a lot of things, but it does Azure SQL really well!"
aroworkshop,SCSS,Azure Red Hat OpenShift workshop
arr-grasp-type-recognition,Python,
art,TypeScript,"Exploring the connections between artworks with deep ""Visual Analogies"""
art-msra,Jupyter Notebook,[CVPR 2025] Official repo for ART:Anonymous Region Transformer for Variable Multi-Layer Transparent Image Generation
artifacts-credprovider,C#,"The Azure Artifacts Credential Provider enables dotnet, NuGet.exe, and MSBuild to interactively acquire credentials for Azure Artifacts feeds."
artifacts-credprovider-conda,,Provide conda protocol authentication support for Azure Artifacts
artifacts-keyring,Python,Keyring backend for Azure Artifacts
artifacts-keyring-nofuss,Python,"Minimal, pure-Python keyring backend for Azure DevOps Artifacts feeds.  Replaces the official artifacts-keyring (which wraps a ~100 MB .NET binary) with a no-fuss implementation that covers the most common Linux auth scenarios using raw HTTP — no msal, no azure-identity, no .NET."
ARXGEN,Python,Scripts to parse arxiv documents for NLP tasks
ArxivFormula,Python,This repo is used to release the ArxivFormula dataset.
asclepius,Jupyter Notebook,Asclepius is a hero and god of medicine in ancient Greek religion and mythology.
asconnect,Python,Wrapper around the Apple App Store Connect REST APIs
ASDET,Jupyter Notebook,
AsgardBench,Python,Visually grounded planning benchmark for multimodal agents
AskEase,Python,NVDA Learning Assistant
ASL-citizen-code,Python,Code and baselines for ASL Citizen dataset
ASL-STEM-Wiki,Python,Code for the ASL STEM Wiki baselines
aspire,C#,"Aspire is the tool for code-first, extensible, observable dev and deploy."
aspire-brand,,"Brand assets for Aspire: Including slides, logos, icons, colors, guides, etc."
aspire-devcontainer,,
aspire-devcontainer-feature,Shell,
aspire-devcontainer-nightly,Dockerfile,GitHub template repository pre-configured with Devcontainer for .NET Aspire development.
aspire-samples,C#,
aspire.dev,MDX,The official website for all things aspire.dev.
aspnet-docker,Dockerfile,This repository has moved to microsoft/dotnet-framework-docker.
AspNetCoreInjection.TypedFactories,C#,"This project provides automatic Automatic Factory functionality similar to Castle.Windsor Typed Factories, for the DI abstractions in ASP.NET Core (IServiceCollection)"
ASRDFD,C,
asrr_tools,,
assemblyline-service-dotnet,Python,Parses the Common Language Runtime (CLR) header for Windows .NET files using Unit42's dotnetfile library
assent-app,C#,"Microsoft Assent is an enterprise scale product, internally used at Microsoft. It delivers a modern approvals experience for any approval, anywhere, anytime, on any device. It consolidates approvals across organization's line of business applications, building on modern technology and powered by Microsoft Azure. It delivers a unified approvals experience for any approval on multiple form factors (i.e., Website, Outlook Actionable email, Teams), anytime. "
assessment,C#,Assessment tool for checking Zero Trust and Azure AD configuration
asset-bundle-stats,,List the largest objects in a Unity asset bundle
assistant-pf-demo,Python,Demo for a Prompt Flow using OpenAI Assistants 
ASTRA,Python,Self-training with Weak Supervision (NAACL 2021)
Asynchronous_impulse_response_measurement,MATLAB,Sample code for acoustic impulse response estimation without clock synchronization
ATA-Auditing,,Audit your Domain Controllers health before and after an Advanced Threat Analytics (ATA) deployment.
ATAC,Python,"Code accompanying the paper Adversarially Trained Actor Critic for Offline Reinforcement Learning by Ching-An Cheng*, Tengyang Xie*, Nan Jiang, and Alekh Agarwal."
Atlas,C#,"Automating the deployment, configuration, and maintenance of DevOps engineering systems"
atlas-design,SCSS,"Atlas Design System serves the Microsoft Learn design & engineering teams. We are a CSS-first design system that aspires to beautiful, accessible, themeable, reading-direction-agnostic components."
atp-edu,Jupyter Notebook,used to release demo projects from the AI Talent Program course and provide exercise projects for students to complete as homework
attacksimulationandtraining,PowerShell,"Useful tools, scripts for the Attack Simulation and Training feature from Microsoft"
AttackSurfaceAnalyzer,C#,Attack Surface Analyzer can help you analyze your operating system's security configuration for changes during software installation.
AttentionEngine,Python,
Attestation-Client-Samples,C++,
attested-fetch,C++,
attested-ohttp-client,Rust,This is a rust implementation of Oblivious HTTP client sends OHTTP messages to an attested OHTTP gateway
attested-ohttp-server,Rust,This is a rust implementation of an attested OHTTP gateway
attribute-structuring,Python,
audio,PowerShell,Audio tools and libraries created by the Windows audio team
Audio-Manager-for-Unity,C#,A tool for defining and executing audio behaviors in Unity in a node based editor
audio-recorder,C#,Audio Recorder is an example application demonstrating how to record and play audio in Windows Phone 8 devices. XNA Audio API and Windows Audio Session API (WASAPI) are covered by the example.
AudioEntailment,,Audio Entailment: Deductive Reasoning for Audio Understanding
AuditBuddy,C#,A set of PowerShell cmdlets used to manage Audit settings on Windows
augmented-interpretable-models,Jupyter Notebook,Interpretable and efficient predictors using pre-trained language models. Scikit-learn compatible.
aui-cli,Python,Command line client for Audience Insights
auoms-kits,Shell,OMS-Auditd-Plugin Binary Release Kits
Aura,Python,
aurora,Python,Implementation of the Aurora model for Earth system forecasting
aurorabp-sample-data,Jupyter Notebook,Sample data associated with the Aurora-BP study
AustraliaBuildingFootprints,,
auteur,Rust,"Live GStreamer node compositor service, implemented in rust"
authentication-events-function,C#,
authentication-events-sdk-function,C#,Azure function sample code for Microsoft Entra Custom authentication extension
AuthJanitor,C#,"Manage the lifecycle of application tokens, keys, and secrets in Azure"
Auto-Formula,,
auto-github-docs-generator,Jupyter Notebook,Automatically generate github documentation with readthedocs using your openai endpoint
auto-resume-builder,Python,
Auto-retinoscopy,Python,This is the official implementation for the Retinoscopy project.
auto-sys-ml-template,Python,A template repo used by Autonomous Systems and Robotics Group for ML projects 
Auto-Validate-by-History,Jupyter Notebook,
AutoAdapt,Python,
AutoBaseliningIntTestGitHub,PowerShell,Repo to perform integration tests for autobaselining
AutoBrewML,Jupyter Notebook,With AutoBrewML Framework the time it takes to get production-ready ML models with great ease and efficiency highly accelerates. 
autocomplete-search-box,TypeScript,A wrapper over fluentUI SearchBox with search suggestions
AutoCrane,C#,
autodistil,Python,
autogen,Python,A programming framework for agentic AI
AutoGenesis,TypeScript,"AutoGenesis is an AI-powered automated testing framework based on Model Context Protocol (MCP), supporting multiple platforms including desktop applications (Windows/macOS) and mobile applications (iOS/Android)."
automated-brain-explanations,Jupyter Notebook,Generating and validating natural-language explanations for the brain.
automatic-graph-layout,C#,A set of tools for graph layout and viewing
automatic-rule-induction,Python,
Automation-Catalog-for-Power-Platform,TypeScript,
AutoMoE,Python,AutoMoE: Neural Architecture Search for Efficient Sparsely Activated Transformers
AutoMS,C++,Automated Optimization of mmWave Coverage using Low-cost Metasurfaces
AutonomousDrivingCookbook,Jupyter Notebook,"Scenarios, tutorials and demos for Autonomous Driving"
AutoPodcaster,Python,Sample app for podcast generation using Azure OpenAI
autorl-research,Python,The collection of the research works about Automatic Reinforcement Learning in Microsoft Research Asia.
autothrottle,Python,Codebase for Autothrottle (NSDI 2024)
avatar-example,,
avml,Rust,AVML - Acquire Volatile Memory for Linux
AwaitAdapters,,
awesome-js-tools,,An awesome list for JS tools
ax-2012-doc-tools,HTML,Repository of tools initially released with documentation with Microsoft Dynamics AX 2012 
AX2012ARMTemplates,,ARM deployment templates for AX 2012 R3 - High Availability Environments. 
axe-pipelines-samples,TypeScript,Samples that demonstrate running axe accessibility scans from Azure Pipelines
axe-sarif-converter,TypeScript,An axe-core reporter that outputs axe scan results in SARIF format (http://sarifweb.azurewebsites.net/)
axe-windows,C#,Automated accessibility testing engine for Windows applications
az-deep-batch-score,Jupyter Notebook,Batch scoring deep learning models with AML
az-deep-realtime-score,Jupyter Notebook,AKS Deployment Tutorial
az-ml-batch-score,Jupyter Notebook,Deploying a Batch Scoring Pipeline for Python Models
az-ml-realtime-score,Jupyter Notebook,Architecture for deploying real-time scoring of machine learning models using Azure Machine Learning
az-oai-chatgpt-streamlit-harness,Jupyter Notebook,A fully python based Streamlit development harness for ChatGPT hosted in Azure OpenAI Service.
az-partner-center-cli,Python,
az-python,Python,A collection of Python Packages for AI usecases
az-sas-batch-scoring,Jupyter Notebook,
AZ302_Eisenzimmer_2-14_SMCSTS,Jupyter Notebook,Materials for AZ302 SMCSTS
azcapman,PowerShell,"This repository contains Azure quota and capacity management references for SaaS ISVs that operate workloads in subscriptions owned or controlled by the ISV (Enterprise Agreement or Microsoft Customer Agreement), not in customer-owned subscriptions."
azcode,,Public roadmap for Azure Tools for VS Code.
AZD-for-beginners,CSS, Welcome to the comprehensive guide for Azure Developer CLI (azd)! This repository is designed to help developers at all levels from students to professional developers learn and master Azure Developer CLI for efficient cloud deployments.
azdata-extension-azdata,JavaScript,Azure Data Studio API Extension
azdata-test,TypeScript,This module helps you test Azure Data Studio extensions.
azdataGraph,JavaScript,Graph diagram component for use in Azure Data Studio and mssql for VS Code tools
AzDetectSuite,PowerShell,A collection of ARM-based detections for Azure/AzureAD based TTPs
AzDevOpsDemoGenerator,C#,"Azure DevOps Demo Generator helps teams create projects on their Team Services account with pre-populated sample content that includes source code, work items, iterations, service endpoints, build and release definitions based on a chosen template"
azdo-databricks,TypeScript,"A set of Build and Release tasks for Building, Deploying and Testing Databricks notebooks"
azdo-extension-team-randomizer,TypeScript,Team Member Randomizer Extension for Azure DevOps
azfuse,Python,A lightweight blobfuse-like python tool with the data transfer through azcopy
AziHSM-Guest,PowerShell,Samples and documentation for using AziHSM and binaries to interface with it.
azl-otel-collector,Go,Azure Linux OTEL Collector Distro
azopsguide,,Microsoft Azure Operation Management Guide
azPipeline-KubernetesUI-devopsExtension,TypeScript,This repo contains the code for azure devops extension of kubernetes UI that is being built in repo (https://github.com/Microsoft/azpipelines-kubernetesUI).
azpipelines-kubernetesUI,TypeScript,This repo contains UI views of a kubernetes cluster and will be used in azure devops pipelines. This UI is hostable outside of azure pipelines product and does not require the UI web server to be running inside the kubernetes cluster.
azpipelines-kubernetesUI-WebApp,TypeScript,This repo contains an azure web application which hosts the azPipelines kubernetes UI to demonstratre that the UI is hostable outside of azure pipelines product.
azserialconsole,,Azure Serial Console
AzStackHCISandbox,PowerShell,"Welcome to the easiest deployment of Azure Stack HCI, full stack of your life! With this ARM Template you will be able to deploy a working, nested Azure Stack HCI cluster with Hyper-V, Storage Spaces Direct and Software Defined Networking, all managed by Windows Admin Center. It's so simple!"
azure-activedirectory-interactive-auth-library-for-java,HTML,Azure Active Directory interactive authentication library for Java.
azure-activedirectory-jwt-token-handler-for-dotnet,C#,
Azure-Advanced-Threat-Protection,PowerShell,Additional Resources to improve Customer Experience with Azure Advanced Threat Protection
azure-agents-control-plane,Python,
azure-agents-task-metering,Python,
Azure-AI-Apps,,Azure AI Apps
Azure-AI-Contents-Generation,Jupyter Notebook,Sample code for Contents generation by using Azure AI Services
azure-ai-foundry-whatsapp-bot,Python,"WhatsApp Bot built with Azure Functions, Azure AI Foundry and Azure OpenAI Whisper model, using Python."
azure-ai-hands-on-training,Jupyter Notebook,Materials & References for the Azure AI Hands-On Training
azure-ai-search-rest-api-spec,,
azure-analysis-services-http-sample,C#,A sample http endpoint for connecting to Azure Analysis Services over HTTP.  Clients will send DAX or MDX queries and return results as JSON.
Azure-Analytics-and-AI-Engagement,Jupyter Notebook,Azure Analytics and AI Engagement
azure-api-management-monetization,TypeScript,
azure-app-configuration-se-extension,,An extension for Microsoft Azure Storage Explorer that helps managing Azure App Configuration resources.
azure-app-service-plugin,Java,Azure App Service Jenkins plugin.
azure-arc-jumpstart-apps,HTML,Azure Arc Jumpstart repository for hosting the project various sample applications
azure-architecture-solution-build-for-csa,,A technical engagement quickstart to be used by Cloud Solution Architects when designing a solution on Azure
azure-artifacts-migration,PowerShell,Migration scripts to help move your packages to Azure Artifacts from other package repositories. 
azure-bidding-and-auction-services-demo,Shell,
azure-blob-checksum-verification,Shell,
azure-blockchain-connector,Go,"Secures Ethereum-like applications (Parity, Quorum, etc) JRPC endpoint with HTTPS and authentications."
azure-boards-automate-state-transitions,C#,Automate state transitions of parent work items based on child work item changes
azure-boards-estimate,TypeScript,
azure-boards-estimate-backend,C#,
azure-boards-split,TypeScript,Split a work item to track work that will continue into the next sprint.
azure-boards-vscode,TypeScript,Azure Boards Extension for Visual Studio Code
azure-carbon-estimator,TypeScript,Azure carbon Estimator is an SDK that integrates with Green Software Foundation's Impact Framework for getting emissions for all your Azure workloads
azure-chat-for-java,Java,"Azure Chat for Java, A simple Java-based photo and video sharing application, supporting Azure services as the backend for authentication, Video, photos and friend requests via the Azure Java SDK"
azure-cli,Python,Azure Command-Line Interface
azure-cli-extensions,Python,Public Repository for Extensions of Azure CLI.
Azure-CloudAdoptionFramework-UnderstandingNetworking,PowerShell,
azure-cloudera-vm-metrics-logging,Shell,Azure Cloudera linux vm metrics logging with fluentd to azure storage
azure-container-apps,Bicep,Roadmap and issues for Azure Container Apps
azure-cookbook,Ruby,Windows Azure Cookbook for Chef
azure-cosmos-db-sampler,Java,An Apache JMeter sampler for load-testing Cosmos DB SQL API accounts
azure-cost-monitor,Python,
azure-data-manager-for-energy-experience-lab,TypeScript,"Experience Lab is a set of utilities that assist in creating instances of Microsoft Azure Data Manager for Energy, performing data loads, and performing basic management operations."
azure-data-manager-for-energy-power-bi-connector,,Microsoft Azure Data Manager for Energy Certified Power BI Connector
azure-data-services-go-fast-capability-assessment,,Document repository that aims to provide a methodology for assessing an organisation's data and analytics platform maturity.
azure-data-services-go-fast-documentation,,Documentation for the Azure Data Services Go Fast Framework. A framework for rapid deployment and configuration of common Azure Data Services Architectures.
azure-databases-aspire,C#,
Azure-Databases-Community-Content,,Microsoft Databases content shared with the Community. 
Azure-Databricks-NYC-Taxi-Workshop,Scala,An Azure Databricks workshop leveraging the New York Taxi and Limousine Commission Trip Records dataset
Azure-Databricks-Solution-Accelerator-Financial-Analytics-Customer-Revenue-Growth-Factor,Python,
azure-databricks-sql-workshop-ja,Python,A repository for managing workshop contents for learning Microsoft Azure's data analytics platform with a focus on Databricks SQL and Synapse Pipeline & Data Flow. The contents are written in Japanese.
Azure-Datahub-Solution-Accelerator-for-Government-Recovery-Programs,Jupyter Notebook,
Azure-DCAP-Client,C++,Interfaces between SGX SDKs and the Azure Attestation SGX Certification Cache.
Azure-DDP,PowerShell,"Framework to build general purpose distributed data platform in Azure Virtual Machines to support various platforms like Hadoop, Cassandra and MongoDB.  "
azure-dev-day,C#,Labs and information for Azure Dev Day.
azure-dev-day-java,HTML,Labs and information for Azure Dev Day.
azure-dev-experience--azure-devbox,Python,Azure Developer experience - using Azure DevBox as a primary environment for Azure development.
Azure-Dev-Experience-developer-environment-options,Python,Summary of developer (development) environment options for developing Azure based solutions.
azure-devops-analytics,TSQL,
azure-devops-auth-samples,JavaScript,Samples showing how to auth with Azure DevOps
azure-devops-dotnet-samples,C#,.NET/C# samples for integrating with Azure DevOps Services and Azure DevOps Server
azure-devops-engineering-extensions,TypeScript,AzureDevOps marketplace extension that contains various engineering oriented Pipeline tasks
azure-devops-extension-add-fields-with-refname,JavaScript,Azure DevOps Extension that can be used to create new fields in a process and allows you to specify the refname
azure-devops-extension-api,TypeScript,REST client libraries and contracts for Azure DevOps web extension developers.
azure-devops-extension-cascading-picklist,TypeScript,Azure DevOps extension to enable cascading picklists on the work item form
azure-devops-extension-hot-reload-and-debug,TypeScript,Azure DevOps extension sample that uses hot reloading and is debuggable directly in VS Code
azure-devops-extension-sample,TypeScript,Sample web extension for Azure DevOps
azure-devops-extension-sdk,TypeScript,Client SDK for developing Azure DevOps extensions
azure-devops-extension-tasks,TypeScript,Pipeline tasks for Azure DevOps Extensions
azure-devops-extension-yeoman-generator,TypeScript,Generates a basic Azure DevOps extension with support for hot reload and debugging in VS Code
azure-devops-go-api,Go,This repository contains Go APIs for interacting with and managing Azure DevOps.
azure-devops-intellij,Java,IntelliJ IDEA plug-in for Visual Studio Team Services and Team Foundation Server (TFS)
azure-devops-mcp,TypeScript,"The MCP server for Azure DevOps, bringing the power of Azure DevOps directly to your agents."
azure-devops-mcp-pr-filter,,"The MCP server for Azure DevOps, bringing the power of Azure DevOps directly to your agents."
azure-devops-node-api,TypeScript,Azure DevOps Client for Node.js
azure-devops-python-api,Python,Azure DevOps Python API
azure-devops-python-samples,Python,Python samples for interacting with and managing Azure DevOps
azure-devops-rust-api,Rust,Rust API crate for the Azure DevOps API
azure-devops-skills,,Sample skills and prompt patterns demonstrating how to use the Azure DevOps MCP Server with GitHub Copilot and agent-based workflows
azure-devops-symbols,TypeScript,Collection of tools for javascript projects to support sourcemap storage using azure devops' symbol service
azure-devops-tls12,PowerShell,Azure DevOps TLS 1.2 transition readiness checker
azure-devops-ui-public,,
azure-devops-wit-client-om-migration-guide,C#,.NET/C# samples for interacting with work items on Azure DevOps Services and Azure DevOps Server
Azure-DevOps-YAML-for-Unity,,A sample yaml configuration for creating a headless pipeline to build Unity3D projects for HoloLens2 with Azure Pipelines and Microsoft Hosted Agents.
azure-digital-twins-code-samples,,Azure Digital Twins Code Samples
azure-digital-twins-java,Java,Azure Digital Twins - Java Support Collection
azure-digital-twins-postman-samples,,Azure Digital Twins Postman Samples
Azure-Edge-Solutions-Lab,Python,"Edge AI end to end solution using AzSHCI, AKS, and ARC"
Azure-Employee-Network-Graph-Solution-Accelerator-with-MGDC,Jupyter Notebook,
azure-gaming-devops,,DevOps Pipelines for Azure Gaming Services
azure-genai-design-patterns,Python,
azure-gradle-plugins,Java,Azure Plugins for Gradle
azure-grpc-telemetry-pipeline,HCL,A sample pipeline to ingest and process gRPC telemetry data
azure-health-AI-services-samples,,"This repository contains different samples applications and sample code to help you get started with the different Health-AI services. Based on these you will learn how to use our products, and accelerate your implementations."
azure-health-data-services-toolkit,C#,Customization model for Azure Health Data Services.
azure-health-data-services-workshop,Bicep,Repository for instructor led and self-paced Azure Health Data Services workshops
azure-iac-agentic-toolkit,Shell,This project combines open-source tools with GitHub Copilot agentic configurations to help you to engineer Azure-based infrastructure with Terraform.
Azure-ILB-hairpin,,Back-end to front-end communication with Azure Internal Load Balancer
Azure-Integration-Reports,,This repo will be used to generate and store reports for other GitHub repos
Azure-Invoice-Process-Automation-Solution-Accelerator,,
azure-iot-central-esp32-sample,C++,"An end-to-end example code to connect an ESP32 board with Azure IoT Central and send temperature, humidity, and light data from sensors."
azure-iot-developer-kit,,A curated list of awesome Azure IoT Developer Kit projects and resources.
azure-iot-edge-cv-model-samples,Python,An end-to-end IoT Edge solution performing object detection (YOLOv3)
azure-iot-edge-jenkins-plugin,Java,A Jenkins plugin for continuous integration(build and push docker image) and continuous deployment(create Edge deployment on Azure)
azure-iot-edge-vsts-extension,JavaScript,A tool for continuous integration(build and push docker image) and continuous deployment(create Edge deployment on Azure)
azure-iothub-exporter,Go,Prometheus exporter for Azure IoT Hub
Azure-Key-Vault-Plugin-gMSA,Smarty,
Azure-Kinect-Samples,C,Samples for Azure Kinect
Azure-Kinect-Sensor-SDK,C++,A cross platform (Linux and Windows) user mode SDK to read data from your Azure Kinect device.
azure-kms,,Key management system based on a confidential ledger
Azure-Lab-Services-Retirement-Scripts,PowerShell,"This repository provides a set of automation scripts to help Azure Lab Services customers efficiently prepare for and complete their service retirement workflows. The scripts are designed to streamline bulk cleanup, resource validation, and deprovisioning tasks, reducing manual effort and simplifying the overall offboarding process."
azure-linux-automation,PowerShell,
azure-linux-dev-tools,Go,
azure-linux-image-tools,Go,
azure-linux-kernel,,Patches for building an Azure-tuned Linux kernel.
azure-load-testing,,
Azure-Managed-Instance-Link,PowerShell,"Githib repository for Azure SQL Managed Instance link. This repository contains instructions, links to documentation and other useful resources, as well as scripts for setup and use of Managed Instance link."
azure-maven-archetypes,Scala,Maven Archetypes for Microsoft Azure Services
azure-maven-plugins,Java,Maven plugins for Azure
azure-media-redactor-visualizer,C#,"After submitting an Analyze pass in the cloud, download the output and use this tool to visualize and preview the output, and help select IDs to select for Redact phase in the cloud."
azure-mobile-apps-with-ionic,JavaScript,Ionic template integrated with Azure mobile app services
azure-monitor-lab,,Azure Monitor Lab Exercises
azure-netapp-files,,Azure NetApp Files
azure-nodejs-logpoints-docs,,Instructions for setting up LogPoints on Azure
Azure-Non-Fungible-Token-Solution-Accelerator,C#,
